Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_7_81,VGND,li1,44.6200,32.6400,0.000237
FILLER_7_69,VGND,li1,40.0200,32.6400,0.000219
FILLER_7_57,VGND,li1,34.5000,32.6400,0.000188
FILLER_7_55,VGND,li1,31.0500,32.6400,0.000148
FILLER_7_49,VGND,li1,29.4400,32.6400,0.000148
FILLER_6_161,VGND,li1,80.0400,27.2000,0.000374
FILLER_6_149,VGND,li1,74.7500,27.2000,0.000364
FILLER_6_141,VGND,li1,72.2200,27.2000,0.000359
FILLER_6_139,VGND,li1,69.6900,27.2000,0.000351
FILLER_6_131,VGND,li1,67.6200,27.2000,0.000344
FILLER_6_117,VGND,li1,60.2600,27.2000,0.000312
FILLER_6_105,VGND,li1,56.5800,27.2000,0.000302
FILLER_6_93,VGND,li1,51.0600,27.2000,0.000278
FILLER_6_85,VGND,li1,44.8500,27.2000,0.000243
FILLER_6_76,VGND,li1,40.9400,27.2000,0.000219
FILLER_6_64,VGND,li1,37.7200,27.2000,0.000198
FILLER_6_51,VGND,li1,29.4400,27.2000,0.000143
FILLER_6_29,VGND,li1,19.3200,27.2000,0.000110
FILLER_6_22,VGND,li1,17.0200,27.2000,0.000113
FILLER_6_10,VGND,li1,10.3500,27.2000,0.000118
FILLER_6_6,VGND,li1,9.2000,27.2000,0.000118
FILLER_5_181,VGND,li1,89.2400,27.2000,0.000381
FILLER_5_169,VGND,li1,86.0200,27.2000,0.000381
FILLER_5_166,VGND,li1,82.3400,27.2000,0.000378
FILLER_5_128,VGND,li1,64.6300,27.2000,0.000335
FILLER_5_119,VGND,li1,60.4900,27.2000,0.000312
FILLER_5_113,VGND,li1,58.8800,27.2000,0.000312
FILLER_5_91,VGND,li1,47.6100,27.2000,0.000254
FILLER_5_65,VGND,li1,35.8800,27.2000,0.000187
FILLER_5_34,VGND,li1,21.6200,27.2000,0.000108
FILLER_5_22,VGND,li1,18.4000,27.2000,0.000113
FILLER_5_3,VGND,li1,9.6600,27.2000,0.000118
FILLER_4_159,VGND,li1,79.5800,21.7600,0.000178
FILLER_4_141,VGND,li1,71.7600,21.7600,0.000164
FILLER_4_132,VGND,li1,68.0800,21.7600,0.000161
FILLER_4_111,VGND,li1,56.8100,21.7600,0.000136
FILLER_4_105,VGND,li1,55.2000,21.7600,0.000136
FILLER_4_93,VGND,li1,51.0600,21.7600,0.000125
FILLER_4_79,VGND,li1,42.3200,21.7600,0.000101
FILLER_4_67,VGND,li1,39.1000,21.7600,0.000091
FILLER_4_57,VGND,li1,31.9700,21.7600,0.000069
FILLER_4_53,VGND,li1,30.8200,21.7600,0.000062
FILLER_4_41,VGND,li1,27.1400,21.7600,0.000052
FILLER_4_29,VGND,li1,21.6200,21.7600,0.000049
FILLER_4_27,VGND,li1,18.1700,21.7600,0.000052
FILLER_4_15,VGND,li1,15.1800,21.7600,0.000052
FILLER_4_3,VGND,li1,9.6600,21.7600,0.000052
FILLER_3_181,VGND,li1,89.2400,21.7600,0.000184
FILLER_3_169,VGND,li1,86.0200,21.7600,0.000184
FILLER_3_167,VGND,li1,82.5700,21.7600,0.000181
FILLER_3_161,VGND,li1,80.9600,21.7600,0.000178
FILLER_3_149,VGND,li1,76.8200,21.7600,0.000174
FILLER_3_137,VGND,li1,71.3000,21.7600,0.000164
FILLER_3_125,VGND,li1,65.7800,21.7600,0.000158
FILLER_3_113,VGND,li1,60.2600,21.7600,0.000149
FILLER_3_111,VGND,li1,56.8100,21.7600,0.000136
FILLER_3_105,VGND,li1,55.2000,21.7600,0.000136
FILLER_3_93,VGND,li1,51.0600,21.7600,0.000125
FILLER_3_81,VGND,li1,45.5400,21.7600,0.000107
FILLER_3_69,VGND,li1,40.0200,21.7600,0.000091
FILLER_3_57,VGND,li1,34.5000,21.7600,0.000077
FILLER_3_55,VGND,li1,31.0500,21.7600,0.000062
FILLER_3_51,VGND,li1,29.9000,21.7600,0.000062
FILLER_3_39,VGND,li1,26.2200,21.7600,0.000045
FILLER_3_15,VGND,li1,13.3400,21.7600,0.000052
FILLER_3_3,VGND,li1,9.6600,21.7600,0.000052
FILLER_2_177,VGND,li1,88.3200,16.3200,0.000000
FILLER_2_165,VGND,li1,84.1800,16.3200,0.000000
FILLER_2_153,VGND,li1,78.6600,16.3200,0.000000
FILLER_2_141,VGND,li1,73.1400,16.3200,0.000000
FILLER_2_139,VGND,li1,69.6900,16.3200,0.000000
FILLER_2_133,VGND,li1,68.0800,16.3200,0.000000
FILLER_2_121,VGND,li1,63.9400,16.3200,0.000000
FILLER_2_109,VGND,li1,58.4200,16.3200,0.000000
FILLER_2_97,VGND,li1,52.9000,16.3200,0.000000
FILLER_2_85,VGND,li1,47.3800,16.3200,0.000000
FILLER_2_83,VGND,li1,43.9300,16.3200,0.000000
FILLER_2_77,VGND,li1,42.3200,16.3200,0.000000
FILLER_2_65,VGND,li1,38.1800,16.3200,0.000000
FILLER_2_53,VGND,li1,32.6600,16.3200,0.000000
FILLER_2_41,VGND,li1,27.1400,16.3200,0.000000
FILLER_2_29,VGND,li1,21.6200,16.3200,0.000000
FILLER_2_27,VGND,li1,18.1700,16.3200,0.000000
FILLER_2_15,VGND,li1,15.1800,16.3200,0.000000
FILLER_2_3,VGND,li1,9.6600,16.3200,0.000000
FILLER_1_181,VGND,li1,89.2400,16.3200,0.000000
FILLER_1_169,VGND,li1,86.0200,16.3200,0.000000
FILLER_1_167,VGND,li1,82.5700,16.3200,0.000000
FILLER_1_161,VGND,li1,80.9600,16.3200,0.000000
FILLER_1_149,VGND,li1,76.8200,16.3200,0.000000
FILLER_1_137,VGND,li1,71.3000,16.3200,0.000000
FILLER_1_125,VGND,li1,65.7800,16.3200,0.000000
FILLER_1_113,VGND,li1,60.2600,16.3200,0.000000
FILLER_1_111,VGND,li1,56.8100,16.3200,0.000000
